price,date
93586.3591571702,2025-01-01
93545.55552532309,2025-01-01
93473.87147135605,2025-01-01
93339.7181852846,2025-01-01
93256.06930579936,2025-01-01
93051.98323230208,2025-01-01
93297.6075779421,2025-01-01
93547.86133526727,2025-01-01
94216.98076389902,2025-01-01
93968.34922965291,2025-01-01
94257.22814652258,2025-01-01
93899.58728253447,2025-01-01
93934.54706964073,2025-01-01
94121.510119208,2025-01-01
94468.70579080972,2025-01-01
94572.55254464778,2025-01-01
94783.15438564416,2025-01-01
94557.49630834152,2025-01-01
94384.1761153871,2025-01-02
94908.41050416253,2025-01-02
94677.61195950604,2025-01-02
95040.77294698045,2025-01-02
94864.72473958398,2025-01-02
95483.50168653371,2025-01-02
95418.35539033917,2025-01-02
95433.72950959054,2025-01-02
95718.77841251166,2025-01-02
96000.77273223542,2025-01-02
96427.25363971504,2025-01-02
96481.02548549822,2025-01-02
96653.95220084535,2025-01-02
96756.65528658801,2025-01-02
96339.03229188357,2025-01-02
97183.9727598327,2025-01-02
96386.06277555888,2025-01-02
97073.67946708362,2025-01-02
96641.51368666631,2025-01-02
97245.4578122557,2025-01-02
97433.16006615898,2025-01-02
97190.0237351974,2025-01-02
97076.03888871246,2025-01-02
96839.91368038654,2025-01-02
96897.89773864347,2025-01-03
96741.07652263448,2025-01-03
96749.75952794372,2025-01-03
96942.42797852152,2025-01-03
96946.67766178324,2025-01-03
96726.73309917754,2025-01-03
96703.03318851322,2025-01-03
96462.29294514481,2025-01-03
96249.6236219426,2025-01-03
96010.07539005707,2025-01-03
96487.27608821382,2025-01-03
96425.08432874594,2025-01-03
96704.90871031054,2025-01-03
96600.50470424946,2025-01-03
96481.62117505186,2025-01-03
96982.18051207674,2025-01-03
97657.94555900974,2025-01-03
97804.57307916998,2025-01-03
98007.33633659976,2025-01-03
98495.11058031,2025-01-03
98547.4354983168,2025-01-03
98312.36888893423,2025-01-03
98409.41464845113,2025-01-03
98273.14821437132,2025-01-03
98150.88378407732,2025-01-04
97916.93909067282,2025-01-04
